Date,Active Users,Subscription Plan,Churn Rate,Monthly Recurring Revenue (MRR),Annual Recurring Revenue (ARR),Customer Lifetime Value (CLV)
3-14-2020,171,Basic,0.09,"1,710","20,520","18,846"
3-15-2020,73,Premium,0.14,"3,650","43,800","26,463"
3-16-2020,446,Basic,0.02,"4,460","53,520"," 2,41,695 "
3-17-2020,395,Premium,0.14,"19,750"," 2,37,000 "," 1,41,906 "
3-18-2020,421,Premium,0.04,"21,050"," 2,52,600 "," 4,80,871 "
3-19-2020,348,Standard,0.1,"8,700"," 1,04,400 ","86,707"
3-20-2020,133,Standard,0.15,"3,325","39,900","22,456"
3-21-2020,375,Premium,0.11,"18,750"," 2,25,000 "," 1,70,687 "
3-22-2020,427,Basic,0.13,"4,270","51,240","31,899"
3-23-2020,444,Basic,0.06,"4,440","53,280","74,607"
3-24-2020,303,Basic,0.14,"3,030","36,360","21,353"
3-25-2020,290,Basic,0.03,"2,900","34,800"," 1,03,542 "
3-26-2020,309,Standard,0.03,"7,725","92,700"," 3,07,533 "
3-27-2020,221,Premium,0.14,"11,050"," 1,32,600 ","77,652"
3-28-2020,140,Standard,0.05,"3,500","42,000","74,349"
3-29-2020,332,Premium,0.11,"16,600"," 1,99,200 "," 1,55,865 "
3-30-2020,470,Standard,0.12,"11,750"," 1,41,000 "," 1,00,059 "
3-31-2020,293,Standard,0.05,"7,325","87,900"," 1,53,247 "
4-1-2020,356,Premium,0.08,"17,800"," 2,13,600 "," 2,28,734 "
4-2-2020,297,Basic,0.06,"2,970","35,640","46,170"
4-3-2020,133,Premium,0.06,"6,650","79,800"," 1,06,757 "
4-4-2020,288,Standard,0.02,"7,200","86,400"," 3,99,695 "
4-5-2020,256,Premium,0.14,"12,800"," 1,53,600 ","93,289"
4-6-2020,255,Standard,0.11,"6,375","76,500","58,010"
4-7-2020,223,Standard,0.07,"5,575","66,900","82,861"
4-8-2020,281,Basic,0.13,"2,810","33,720","20,818"
4-9-2020,490,Standard,0.1,"12,250"," 1,47,000 "," 1,18,730 "
4-10-2020,402,Basic,0.05,"4,020","48,240","84,328"
4-11-2020,318,Standard,0.03,"7,950","95,400"," 2,99,178 "
